,Country,year,Ewltp (g/km) mean,Ewltp (g/km) sum,Erwltp (g/km) mean
50,PL,2016,177.1523630394638,2590144.7,2.254626865671642
51,PT,2016,155.99581993569132,1503955.7,1.955626423690205
52,RO,2016,169.79914728682172,1314245.4000000001,2.0540000000000003
53,SE,2016,173.6572795732664,2213783.0,1.7926315789473686
54,SI,2016,163.3693377293578,1139664.5,2.2368253968253966
55,SK,2016,172.05581017917424,2650347.7,2.7625
56,AT,2017,166.56808582341046,4448367.3,1.968724279835391
57,BE,2017,150.62665865389,82587241.3,1.6773114599315473
58,BG,2017,164.17571064421443,4250837.5,1.8543915343915345
59,CY,2017,158.86106139111322,2023572.2000000002,2.1000000000000005
60,CZ,2017,161.28987276431965,35620868.4,1.6806306306306307
61,DE,2017,176.98839642006735,10777708.4,1.942949242734343
62,DK,2017,139.23376971220858,30566546.400000002,2.0618813764482105
63,EE,2017,172.6103975416213,4437468.100000001,1.3663829787234043
64,ES,2017,169.32326247454176,2660407.1,1.7566956521739132
65,FI,2017,161.88647243476555,1650270.7,1.326
66,FR,2017,143.51081262267775,323674430.3,1.7392306091168848
67,GB,2017,167.0722209231633,7145010.600000001,1.375
68,GR,2017,141.48779588072549,12427014.6,1.7801415094339625
69,HR,2017,147.2495491098406,6335559.100000001,1.684702886247878
70,HU,2017,171.71990161918427,1675642.8,1.3222857142857143
71,IE,2017,152.6071949736522,752963.9,2.3400000000000003
72,IT,2017,170.72907069475067,3639431.6,2.6108577878103842
73,LT,2017,173.2246421493063,786613.1,2.07696261682243
74,LU,2017,170.38503575461047,2263565.2,1.5981034482758623
75,LV,2017,167.45698806125097,2580847.1,1.9057676348547719
76,MT,2017,144.3290305924874,1118117.0,1.5022222222222223
77,NL,2017,140.878633295647,58066509.800000004,1.8653111398658981
78,PL,2017,165.9505112916536,71389420.7,1.933835953916383
79,PT,2017,136.33594352819583,30602783.900000002,1.840390417709044
80,RO,2017,156.80542604426287,16735215.9,1.8356534508076356
81,SE,2017,174.09094149094147,2344656.8,1.9826701570680627
82,SI,2017,155.52457829301076,9256822.9,1.8061333333333334
